"","N","Ltot","LD","C","D","AvPath","Clust","Loop","Top","Int","Bas"
"akatorea",84,227,2.70238095238095,0.0325588066551922,3,1.27884615384615,0.0174129353233831,0,38.0952380952381,10.7142857142857,51.1904761904762
"akatoreb",54,117,2.16666666666667,0.0408805031446541,3,1.25161290322581,0.0567226890756303,0,29.6296296296296,22.2222222222222,48.1481481481481
"benguela",29,203,7,0.25,4,1.50602409638554,0.571534469977761,7,0,93.1034482758621,6.89655172413793
"berwick",77,240,3.11688311688312,0.0410116199589884,3,1.28313253012048,0.0162664601084431,0,40.2597402597403,14.2857142857143,45.4545454545455
"blackrock",86,375,4.36046511627907,0.0512995896032832,3,1.35017421602787,0.041740152851264,0,17.4418604651163,25.5813953488372,56.9767441860465
"bridgebrook",75,553,7.37333333333333,0.0996396396396396,3,1.45010615711253,0.191095383096041,5,0,48,52
"broad",94,565,6.01063829787234,0.0646305193319607,3,1.36811926605505,0.00483529767301299,1,23.4042553191489,20.2127659574468,56.3829787234042
"broom",154,370,2.4025974025974,0.0157032509973686,3,1.41666666666667,0.2078173374613,4,75.3246753246753,24.025974025974,0.649350649350649
"bsq",130,967,7.43846153846154,0.0576624925462135,4,1.78395061728395,0.143693962940825,0,35.3846153846154,33.0769230769231,31.5384615384615
"canton",108,708,6.55555555555556,0.0612668743509865,4,1.28571428571429,0.0255844728716365,1,27.7777777777778,20.3703703703704,51.8518518518518
"catlins",48,110,2.29166666666667,0.0487588652482269,2,1.20863309352518,0.027190332326284,0,47.9166666666667,22.9166666666667,29.1666666666667
"caymen fw",242,3766,15.5619834710744,0.0645725455231302,5,1.85429329680678,0.112957083251801,2,4.13223140495868,91.3223140495868,4.54545454545455
"chesapeake",33,72,2.18181818181818,0.0681818181818182,5,1.97093023255814,0.186943620178042,1,36.3636363636364,48.4848484848485,15.1515151515152
"coachella",30,290,9.66666666666667,0.333333333333333,4,1.51153039832285,0.696689386562804,20,0,90,10
"coweeta1",58,126,2.17241379310345,0.0381125226860254,3,1.3551912568306,0.108761329305136,0,34.4827586206897,17.2413793103448,48.2758620689655
"coweeta17",71,148,2.08450704225352,0.0297786720321932,2,1.34801762114537,0.0554371002132196,0,36.6197183098592,9.85915492957746,53.5211267605634
"csm",118,874,7.40677966101695,0.0633058090685209,3,1.70390625,0.155229116421837,2,31.3559322033898,46.6101694915254,22.0338983050847
"cuban fw",240,3874,16.1416666666667,0.0675383542538354,6,1.86095947063689,0.113587250957213,2,4.16666666666667,91.25,4.58333333333333
"dempstersau",83,415,5,0.0609756097560976,5,1.67847411444142,0.0137863121614968,1,20.4819277108434,24.0963855421687,55.421686746988
"dempsterssp",93,538,5.78494623655914,0.062879850397382,3,1.32912988650694,0.00932711525649567,0,18.2795698924731,27.9569892473118,53.763440860215
"dempsterssu",107,966,9.02803738317757,0.0851701639922412,5,1.57956878850103,0.0753221449763096,1,12.1495327102804,41.1214953271028,46.7289719626168
"elverde",156,1510,9.67948717948718,0.0624483043837882,7,2.53742633476999,0.232173165516785,2,13.4615384615385,68.5897435897436,17.9487179487179
"epb",158,1539,9.74050632911392,0.0620414415867129,3,1.7380419295746,0.118709972552607,1,28.4810126582279,45.5696202531646,25.9493670886076
"flensburg",75,523,6.97333333333333,0.0942342342342342,4,1.5047619047619,0.174067676049182,2,12,77.3333333333333,10.6666666666667
"german",84,353,4.20238095238095,0.0506310958118187,3,1.36794171220401,0.0556740614334471,1,14.2857142857143,28.5714285714286,57.1428571428571
"grass",75,113,1.50666666666667,0.0203603603603604,2,1.39893617021277,0.174081237911025,0,41.3333333333333,48,10.6666666666667
"healy",96,634,6.60416666666667,0.0695175438596491,4,1.50611888111888,0.0669900476708204,0,20.8333333333333,30.2083333333333,48.9583333333333
"jamaican fw",249,4105,16.4859437751004,0.0664755797383081,5,1.84072645451623,0.116039161210699,2,4.41767068273092,91.9678714859438,3.6144578313253
"kyeburn",98,629,6.41836734693878,0.0661687355354513,3,1.31792559188275,0.0526055816250926,0,16.3265306122449,24.4897959183673,59.1836734693878
"lilkyeburn",78,375,4.80769230769231,0.0624375624375624,3,1.39837398373984,0.021424199143032,0,17.9487179487179,28.2051282051282,53.8461538461538
"littlerock",181,2375,13.121546961326,0.0728974831184776,6,1.90013518080433,0.333621768140117,17,0.552486187845304,64.6408839779006,34.8066298342541
"martins",105,343,3.26666666666667,0.0314102564102564,4,1.6393001345895,0.0796831314072693,0,31.4285714285714,22.8571428571429,45.7142857142857
"narrowdale",71,155,2.1830985915493,0.0311871227364185,3,1.34955752212389,0.0468478889531521,1,46.4788732394366,14.0845070422535,39.4366197183099
"northcol",78,241,3.08974358974359,0.0401265401265401,3,1.45475638051044,0.0522830254444057,0,35.8974358974359,32.0512820512821,32.0512820512821
"otago",123,1206,9.80487804878049,0.0803678528588565,3,1.79080824088748,0.210329495597892,6,26.0162601626016,70.7317073170732,3.2520325203252
"powder",78,268,3.43589743589744,0.0446220446220446,3,1.3490099009901,0.0353707725721378,0,30.7692307692308,28.2051282051282,41.025641025641
"quick",69,1000,14.4927536231884,0.213128729752771,6,1.88505747126437,0.554073803434417,27,2.89855072463768,79.7101449275362,17.3913043478261
"reef",50,556,11.12,0.226938775510204,5,1.93804130579614,0.565265866209262,21,0,94,6
"shelf",81,1483,18.3086419753086,0.228858024691358,8,1.77128205128205,0.576666387889939,25,3.7037037037037,93.8271604938272,2.46913580246914
"skipwith",35,380,10.8571428571429,0.319327731092437,3,1.13849765258216,0.61533394809643,11,2.85714285714286,94.2857142857143,2.85714285714286
"stmarks",48,221,4.60416666666667,0.0979609929078014,4,1.79207920792079,0.291249455811929,3,18.75,68.75,12.5
"stmartin",44,218,4.95454545454545,0.115221987315011,3,1.64484126984127,0.32501948558067,0,18.1818181818182,68.1818181818182,13.6363636363636
"stony",112,832,7.42857142857143,0.0669240669240669,3,1.33061889250814,0.020060396893874,2,17.8571428571429,25.8928571428571,56.25
"suttonau",80,335,4.1875,0.053006329113924,3,1.37701612903226,0.0109639104613979,0,26.25,12.5,61.25
"suttonsp",74,391,5.28378378378378,0.0723805997778601,2,1.16452991452991,0.00208116545265349,0,20.2702702702703,12.1621621621622,67.5675675675676
"suttonsu",86,423,4.91860465116279,0.0578659370725034,2,1.15230460921844,0.00211689991767611,0,11.6279069767442,15.1162790697674,73.2558139534884
"sylt",124,985,7.94354838709677,0.0645816942040388,4,1.71489971346705,0.213371437771695,5,21.7741935483871,73.3870967741936,4.83870967741935
"troy",77,181,2.35064935064935,0.0309295967190704,3,1.44117647058824,0.0387847446670976,0,27.2727272727273,20.7792207792208,51.9480519480519
"venlaw",66,187,2.83333333333333,0.0435897435897436,3,1.43081761006289,0.0282235749861649,0,30.3030303030303,24.2424242424242,45.4545454545455
"ythan_nopar96",92,421,4.57608695652174,0.0502866698518872,4,1.78821656050955,0.165526277478527,4,33.695652173913,60.8695652173913,5.43478260869565
