"","TL","OI","L1"
"1",1,0,"akatorea"
"2",0.999999999999999,0,"akatorea"
"3",1,0,"akatorea"
"4",1,0,"akatorea"
"5",1.00000000000001,0,"akatorea"
"6",1.00000000000001,0,"akatorea"
"7",0.999999999999995,0,"akatorea"
"8",0.999999999999997,0,"akatorea"
"9",0.999999999999998,0,"akatorea"
"10",1,0,"akatorea"
"11",1,0,"akatorea"
"12",1,0,"akatorea"
"13",0.999999999999998,0,"akatorea"
"14",1,0,"akatorea"
"15",1,0,"akatorea"
"16",0.999999999999999,0,"akatorea"
"17",1,0,"akatorea"
"18",0.999999999999999,0,"akatorea"
"19",1,0,"akatorea"
"20",0.999999999999998,0,"akatorea"
"21",0.999999999999999,0,"akatorea"
"22",1,0,"akatorea"
"23",0.999999999999999,0,"akatorea"
"24",0.999999999999999,0,"akatorea"
"25",1,0,"akatorea"
"26",1,0,"akatorea"
"27",0.999999999999998,0,"akatorea"
"28",0.999999999999998,0,"akatorea"
"29",0.999999999999999,0,"akatorea"
"30",0.999999999999998,0,"akatorea"
"31",1,0,"akatorea"
"32",1,0,"akatorea"
"33",1,0,"akatorea"
"34",0.999999999999998,0,"akatorea"
"35",1,0,"akatorea"
"36",1,0,"akatorea"
"37",1,0,"akatorea"
"38",1,0,"akatorea"
"39",1.00000000000001,0,"akatorea"
"40",1,0,"akatorea"
"41",1,0,"akatorea"
"42",1,0,"akatorea"
"43",1,0,"akatorea"
"44",2.71428571428572,0.20408163265306,"akatorea"
"45",2,1.08791930698546e-29,"akatorea"
"46",2,2.04512189678547e-29,"akatorea"
"47",2,1.96475669206608e-29,"akatorea"
"48",2.00000000000001,3.66623105701465e-29,"akatorea"
"49",2,2.84198518907387e-29,"akatorea"
"50",2.50000000000001,0.25,"akatorea"
"51",2,3.4248889238236e-29,"akatorea"
"52",2,1.9297509893969e-29,"akatorea"
"53",2,1.16455591133252e-29,"akatorea"
"54",2,1.33252341523661e-29,"akatorea"
"55",2,7.59278621275224e-30,"akatorea"
"56",2.5,0.25,"akatorea"
"57",2,2.41292829384477e-29,"akatorea"
"58",2,1.42488001005545e-29,"akatorea"
"59",2,6.33553914505625e-30,"akatorea"
"60",2,6.53768475201914e-30,"akatorea"
"61",2.50000000000001,0.249999999999998,"akatorea"
"62",2,4.75781733461423e-30,"akatorea"
"63",2,1.33135685195601e-29,"akatorea"
"64",2,2.86852285761356e-29,"akatorea"
"65",2,3.81241684351342e-30,"akatorea"
"66",2,1.1563283386101e-29,"akatorea"
"67",2,7.22300766342989e-30,"akatorea"
"68",2,1.25552143446582e-29,"akatorea"
"69",2,1.75398291895234e-29,"akatorea"
"70",2,1.57969396270508e-29,"akatorea"
"71",2.00000000000001,1.23095170418862e-29,"akatorea"
"72",2.00000000000001,3.08148791101958e-30,"akatorea"
"73",2,9.19022954582479e-30,"akatorea"
"74",2,4.93038065763132e-30,"akatorea"
"75",3.03571428571429,0.292091836734694,"akatorea"
"76",2,1.59908679329176e-29,"akatorea"
"77",2,1.35585468084861e-29,"akatorea"
"78",2,1.77949763885559e-29,"akatorea"
"79",2.00000000000001,1.83656679496767e-29,"akatorea"
"80",2,1.9835537683233e-29,"akatorea"
"81",2,2.03871240193055e-29,"akatorea"
"82",2.75,0.1875,"akatorea"
"83",2.50000000000001,0.249999999999995,"akatorea"
"84",2,3.08148791101958e-29,"akatorea"
"85",0.999999999999996,0,"akatoreb"
"86",0.999999999999994,0,"akatoreb"
"87",0.999999999999998,0,"akatoreb"
"88",0.999999999999999,0,"akatoreb"
"89",1.00000000000001,0,"akatoreb"
"90",1,0,"akatoreb"
"91",1,0,"akatoreb"
"92",0.999999999999997,0,"akatoreb"
"93",1,0,"akatoreb"
"94",1,0,"akatoreb"
"95",1,0,"akatoreb"
"96",1,0,"akatoreb"
"97",0.999999999999995,0,"akatoreb"
"98",0.999999999999999,0,"akatoreb"
"99",0.999999999999999,0,"akatoreb"
"100",0.999999999999999,0,"akatoreb"
"101",0.999999999999999,0,"akatoreb"
"102",1,0,"akatoreb"
"103",1,0,"akatoreb"
"104",0.999999999999998,0,"akatoreb"
"105",1,0,"akatoreb"
"106",1,0,"akatoreb"
"107",1,0,"akatoreb"
"108",1,0,"akatoreb"
