"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",88,50,230,95,293,1208,338.025,690.025,3725.1,458,40,17227.05,94,320,71.025,79,3386,18346.025,319,411,1567.025,8200.175,7585.15,1089.025,359.025,103,718,19324.025,413,438,12381.425,433.05,79,218,4712.275,187,2871,1258.025,3968.125,200.025,547.025,436.025,533.025,133,122,118,3405.025,152,137.025,987.025
"2",52,19.975,134,59,192.975,872.9,234,477.975,3003.95,324.95,20,15751,52,205,37.975,41,2779.875,16810.525,219.975,307.975,1263.95,6943.95,6537.95,848.975,253,72,531.975,17775.35,277,319,11021.925,327,37.975,138.975,3934,126,2329.975,941,3266.975,112.975,386.95,300.975,392.975,67,69,51,2668,98,80.975,678.975
"3",59,42,442,72,201,1093.025,353,175,1517,430,41,8779.025,21,684.025,46,44,1033.05,9145.05,285,362,1320.1,3347.025,2389.025,908.025,240,17,658.025,10084.1,487.025,249,8149.1,182.025,56,125,2832.025,139,3185.025,1486,8211.1,1325.025,164,222.025,672,119.025,125,231.025,1736.025,66,80,481
"4",33.975,23,310,44,135.975,816,254.975,100,1176,322.95,24,8001.625,7,490,25.975,27,798,8387.825,203,279.975,1089,2734.975,1968.95,733,178.975,6,515,9278.9,362.975,180.975,7201.9,133,34,79,2365.85,93.975,2614.975,1166.975,7170.9,1057,105,146,532.975,64,75,132.975,1381.925,39,48,326
"5",1,1,13,0.0249999999999773,2,25,2,5,22,2,1,92,3,30,1,0,34,100,2,3,11,139.025,63,17,3,2,5,101,2,4,220,4,1,2,70.025,2,125,73,131,10,17,13,2.02499999999998,1,1,1,30.025,2,1,10
"6",0,0,1,0,0,4,0,0,4,0,0,41.975,0,5.975,0,0,9,48,0,0,1,68.975,23,2,0,0,0,48,0,0,133,0,0,0,25,0,55.975,27,57,0,3,1,0,0,0,0,7,0,0,0
"7",763,325.025,546,818,2397,5735,4786,491,8756,6303,167,60352.15,70,550,270,414,4984.025,61587,2993.025,3745.025,9376.025,11477.025,14242.05,3320,1744,217,4751,68824.025,6143,1909,40644.025,1204,349.025,659,9960.175,867,6760,2209.025,11708,1969,463,701,8431.025,2497.025,3369,6251,6403.025,475,591,1754
"8",735,299,485,790.975,2309,5470.95,4694.975,433,8387.9,6191.975,152,59372.75,52,470,250,396,4731.975,60591.975,2909,3662,9150,10803.975,13673.975,3162,1663.975,205,4617,67767,6024.95,1824,39594.875,1137,317,612,9508,820,6399.95,2028.975,11285.9,1892,391,622.975,8311,2438.975,3321,6187.975,6051,440,551.975,1579.975
"9",1442.025,489,393,1519,1894,1196,3886,3469,4645,5742.025,703,50384.025,136,386,556,815,4720.05,52650.1,2063,3868,7518,9821.025,9428.025,2368.025,1940,174,4609,57849.025,4284,1843,12946.15,2149,1199,1681,8393.025,1824,2514.025,1257.05,8551.05,525,597,507,7755,1497.025,1988,1581.025,7535,767,889,2421.025
"10",1420,473,332,1493,1841,1064,3813.975,3302.975,4383.95,5656.95,689,49709.95,112,314,537,795,4444,51988.975,1999,3807,7372.975,9320.95,9054.975,2243,1896,149,4510,57135.925,4191,1798,12411.95,2103,1181,1636.975,8107.975,1786,2287,1118.975,8164,398.975,517.975,448,7654.95,1450,1946,1502.975,7230,743,863,2265
