"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",541.05,218.025,343,630.025,1137.075,1540.075,2084.075,883.025,4576.025,2988,219,37847.125,133,449,249.025,287,4541.025,39968.375,1312.05,2046.025,4819.1,9564.05,9979.1,1958,1093,178,2607.025,43065.15,2349,1250,16045.275,994.025,318,638.025,6857.4,761.1,3371,1585.025,6434.025,330,673.025,590.1,3733.075,918.025,1131.05,889.1,5261.075,389,442.025,1444
"2",372,121,219,443,818.975,1122.975,1604.85,722.975,3741.925,2373,139,34865,79,312,151.95,166,3883.875,36917.65,972.925,1601.975,4044.725,8375.975,8761,1531,801.975,107,2118.925,39789.9,1838.95,940.975,14051,742.95,200.975,469.975,5899.775,553.95,2777,1248.975,5563,209.975,500.975,413,3029.675,625,802,559.925,4465.975,255,289.975,1119.875
"3",57,33,256.025,74,231,872,518.025,28,1039,661,23,7005.025,14,418,28,33,687,7455.05,326,423.025,1326,1820.025,1795.025,581.05,180.025,14,591.025,8150.025,666,233.025,5338.275,92,29,64,1687.025,89,2604.05,1059,4484,647.05,113,168,938.025,231,376.025,499.025,936.025,38,60,216
"4",29,12,135.975,40,149,606,379.975,10,803.95,486,7.975,6298.875,3,230.975,10,11,541.925,6692.85,217,300.975,1050.95,1512.8,1506,417,115,2,439,7338.95,486,154,4522,53,11,33,1363,51.975,1970,739,3595,373,65,97.975,712,146,249,299.975,736,15,29,144.975
"5",10,6,35,13,25,50,54.025,8,96,70,7,838.075,6,65,6,6,111,931.05,33,50,153,215.025,224,70.025,24.025,3,70.025,987.075,58,34,375,15.025,6,13,196.025,17,236,138.025,505,32,30,30,93,21,31,17,126.025,8,11,31
"6",1,0,9,2,6,15,19,1,47,29,0,643.975,0,22.975,0,0,60,717.975,9,19,80,136,139.975,29,6,0,30,760,22,11,243.975,3,0,2,118,3,132,64.975,333.975,5,10,8,43,3.975,8,2,71.975,0,1,10
"7",743,326.025,483,779,2223,5444.1,4157,623,9289.075,5499,175,55658.35,73,542,279,422,5237,56224.35,2708.025,3344.025,8057.05,14831.025,14619,3202.075,1701.025,219,4315,62914.05,5362.025,1771,41190.7,1258,368.025,690.025,10807.075,872.025,6809.025,2330.075,10183.025,1507.1,489.025,696,7273.025,2230.075,2787.025,5523,7204.05,490,589.025,2057.075
"8",633,256,347.975,661,1921.975,4753,3673.925,564.975,8511.625,4945,132,53068.75,48,397.975,221,348,4738.975,53441.625,2353.975,2941.875,7276.975,13760.95,13609.95,2743.95,1474.975,177,3815.975,59992.825,4759.975,1528.975,38842.75,1117,301.975,572,9883.95,742,5937.65,1905.95,9070.95,1247.95,381.975,532,6553.85,1934.975,2398.95,4931.9,6540.825,413.975,486.975,1774.925
"9",262,106,181,303.025,559,794,1032.05,445,2256.025,1466,113,18748.05,70,237,123,138,2246.025,19844.2,654.025,1014.025,2415,4716.025,4918.1,984.05,535.025,86,1311,21376.1,1158.025,615,7944.175,477,153.025,313,3403.025,374,1737.05,828,3312,192.025,344.025,295,1840.025,447.025,565,457.025,2584.025,189,212,709
"10",195,66,106,231.975,429.95,537,830.975,364,1930.95,1226,70,17590.85,37,141,79,90.975,1965,18601.75,504,822,2050.975,4234.975,4440.9,763,421.95,54.975,1077.95,20115.9,931,487.975,7107.75,384.975,105,240.975,2984.975,284,1338.975,599.975,2714,89,252,206.975,1535,330,413.975,263,2273,135.975,153,579.975
"11",3,2,34.025,4,9,39,22,1,37,26,2,244,2,73,2,2,30,274,14,18.025,62,67.025,67,34.025,8,1,27,290,28,11.025,186,4,2,3,77,5,242.025,118,482.025,69,10,13,39,9,17,14,39,2,3,9.02499999999998
