"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",496,202.025,395.025,563.025,1233.05,2697.025,2284.05,789,5269.025,3078.025,162,39798.525,123.025,498.025,224,254.025,4587.025,41829.475,1476.075,2034,5285.05,9956.05,10890.025,2198,1076,180,2664,45308.05,2682.05,1264,21840.75,915.025,255.025,527.05,7299.025,644.05,5297,2015.025,7723.05,875.025,646,648.025,3867.15,1074.05,1408,1602.025,5070.025,365,403.025,1365.075
"2",291.975,104.975,266.975,343.975,924.95,2296.95,1787.875,445.95,4567.95,2527.925,63,36925.875,62.975,349.975,112,131,3933.925,38749.975,1164.95,1607.85,4530.85,8825.6,9795.7,1776.975,785.975,106,2162,42233.35,2190.95,969,20173.875,634.95,115,320.975,6379,407.975,4544,1633.975,6735.9,672.975,467,470,3181.9,814.95,1093.975,1297.925,4282.875,222,244,1005.975
"3",93,41,230,119,191,380.05,447.025,124,684.05,610.025,59,6130.05,22,394.025,43,50,675,6605.05,242,428.05,1132.05,1613.05,1338.05,472.025,191,12,578,7133.1,498.025,225,2671.1,137,67,126,1479.025,151.025,1853.025,878.075,4061.175,535,132,139,873.025,153.025,251.025,185,1019,53.025,79,262.025
"4",46.975,17,121.95,63,124.95,277,318.95,60.975,549,458,22.975,5490.975,7,219,18,20,527,5972.85,164.975,307,903,1351.975,1131.975,339,121,2,423.975,6460.95,372,145.975,2345.975,82,29,66.975,1206.95,87,1449.95,612.95,3233.725,328,75,80,669.925,97,171,126,822,24,38,176
"5",9,5,44,12,28,111.025,59.025,7,118,72,4,898,6,79,5,5,113,999.025,39,52.025,171,232,259,82,24,3,73,1056.025,69,34,595,14,5,11,216.025,13.025,473,194.025,673.1,140,29,34.025,97,26,44,41,119.025,7,9,29
"6",0,0,14,1,8,67,24,0,66,33,0,709.95,0,34,0,0,62,779.975,14,20,100,150.975,174,41,5,0,32,850.9,32,11,457,2,0,0,137,1,336,116,472.95,72,8,11,48,7,16,16,66,0,0,7.975
"7",231.025,96,215,262,602,1359.05,1113.025,350,2611,1522,74,19730.075,64,264.025,105,118,2274.025,20791,732.025,1010,2639.05,4928.2,5380.05,1089.025,524.025,87.025,1317.05,22479,1329,623.025,10933.075,432,110.025,251.025,3625,309,2665.025,1029.025,3939.1,457,328,330.025,1901.05,524,688,792,2496.1,174,194,657
"8",156.975,56,123,185.975,478.95,1130.975,915.95,262,2318.975,1283,34.975,18603.875,32,166,62,73,1984.975,19624.775,590.975,827.975,2277.975,4472.975,4913.875,891,408,56,1094.975,21239.675,1114,489.95,10148.95,339.975,68,173,3201.95,223,2265.975,803.975,3305.95,322.975,234.975,231,1613.95,415.975,547.975,656,2174.875,120,131,521
"9",1379.025,481,395,1425,1762.025,1662,3393,3548.025,5675.05,5010.025,671,47251,132,461.025,550,808,5067.025,48831.075,1902.025,3436.075,6528.175,12817,10330.1,2404,1865,177,4145.025,53621.375,3764,1716.05,17376,2146.05,1178,1625.025,9217.025,1734.025,3589.025,1630.05,8118.075,594,595,525,6687.025,1339.025,1650,1445.025,8058.025,767,862.025,2602.025
"10",1187.975,371.975,271,1212.95,1518,1427.95,2981.95,3277.975,5190.825,4481.55,532.975,44899.675,87,335.975,436.975,672.95,4564.95,46352.8,1638.925,3012.85,5871,11867.775,9613.95,2047.975,1601,145.975,3681.825,51121.9,3312,1451,16246.8,1883.975,1000,1377.975,8369.95,1471.975,3093,1302.975,7105.85,449,465,397.975,6025.95,1151.975,1393.975,1253.95,7335.8,633,712,2298
"11",18,8,58,22,23,33,57.025,20,57,80,19,539.025,4,127,10,12,61.025,591.025,28,59,141.025,160.025,102,63,28,1,75.025,637.025,62,28,187,19,18,28,182.025,31,315,176,996,137,17,17.025,123.025,17,30.025,16,128.05,9,15.025,38
"12",0,0,30,0,1,11,15.975,0,22,26,0,333.95,0,85,0,0,22,375.975,4,14,67.975,74.975,50,21,1,0,25,410.975,18,3,110,0,0,0,80,0,238,115,811.975,96,3,4,45.975,1,7,2,54,0,0,5
"13",4,2,33.025,5,9,27,21,3,27,25,3,219.025,2,76,2,2,30,250,12,19,58,62.025,54,30,9,1,25,266,23.025,12,121.025,4.02499999999998,2,5,71,6,238,117,489,105.025,10,12,36,8,14,9,41,2,4,11
"14",0,0,12,0,0,8,4,0,8,6,0,144,0,40,0,0,9,165,1,4,25,28,24.975,9,0,0,7,179.975,6,1,69.975,0,0,0,34,0,169,69,370.975,65,1,1,12,0,2,1,15,0,0,1
"15",155.05,78.025,222,186,263.05,436,557.025,216.025,826.1,743.05,95,6769.2,32,359,82,95,813.025,7294.4,319.025,535.025,1290.025,1903.325,1588.175,553,271,21,689.075,7911.075,645.075,300.025,2988.25,230,127.025,203,1723.025,226.025,1861.025,866,4025.05,489.025,160,162,1047.05,206.025,313.025,244,1213.125,102,122,340.025
"16",0,0,124,15.975,61.975,226.95,213.95,0,411.95,331.95,0,4709.925,0,250.975,0,0,391.925,5162.95,98,206.975,726.975,1087.975,945.925,266.975,50.975,0,311,5753.85,279,74,2032,17.975,0,15.975,1000.95,26.975,1428.975,609,3257.9,358.975,51.975,55,520.95,53,112.975,75.975,622.95,0,3,101.95
"17",24,14.025,112,31,84,346,180.025,20,377,221,10,2802.075,14,196.025,13,13,362,3055.175,117,153,502.025,720.05,809.025,249,73.025,10,217.025,3320.075,211,106,1871.025,42,12,29,667.05,39,1370,540,1913.05,360.025,82.025,96,289.05,81,131,129.025,368.025,20,27,87
"18",0,0,59,2,20.975,176.975,65.975,0,179,98,0,1974.875,0,128,0,0,172,2196.975,34,55,289.975,416,487,117,15.975,0,94,2412.95,93.975,28.975,1282.975,5,0,2,392.925,5,1057.975,376,1532.975,259,26,32,141,19,45,39,188,0,1,24.975
"19",5,4,60,8,15,50,36,4,53.025,47,4,440.05,3,139,4,3,55,486.075,21,34,111,121,105,53,14,1,48,520,43,19,233,8,4,8,137,10.025,455.025,219.025,955,201,17,21,68.025,13,25,17,76,4,6,18
"20",0,0,29,0,1,20,11,0,20,14,0,292,0,90,0,0,20.975,335.975,4,10,56,61,52,22,1,0,16,366.975,13,3,146,0,0,0,72,0,354.975,149,771,142.975,3,5,28,1,6,2,34,0,0,3
"21",0,0,6,0,0,1,1,0,1,1,0,4,0,18,0,0,1,5,1,1,2.02499999999998,2,1,2,1,0,1.02499999999998,5,1,1,2,0,0,0,3,1,15,11,56.025,17,1,1,2,0,1,0,2,0,0,1
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,3,0,0,0,0,0,0,0,0,0,0
"23",2,1,38.025,3,4,11,11,1,10,14,2,83,1,108,1,1,12,93,6,10,31,26,18,16,4,0,14,100,13,6,37,2,2,3.02499999999998,37,4,179,106,534.075,126,6,7,20.025,3,7,4,21,1,2,6
"24",0,0,9,0,0,0,0,0,0.975000000000001,0,0,33,0,51,0,0,1,37,0,0,6,5,3,1,0,0,1,41.975,0,0,11,0,0,0,7,0,95.975,44.975,324,63,0,0,2,0,0,0,3,0,0,0
"25",4,3,41,6.02499999999998,11.025,32.025,26,3,33,30,4,259.025,3,87.025,3,3,36,286,15,24,69.025,73.025,65,37,11.025,1,33,309,32,15,143,6,3,7,89.025,8,275.05,139,560.025,122.025,13,15,47,9,19,12,50,3,5,12
"26",0,0,8,0,0,6,2,0,5,3,0,109.95,0,31,0,0,6,131,0,2,18.975,21,18.975,6,0,0,4,150,4,0,57,0,0,0,25,0,138.975,53,323.925,53.975,0,0.975000000000001,8,0,1,0,10,0,0,0
