"","s1","s2","s3","s4","s5","d1","d2","d3","d4","d5","d6","d7","d8"
"akatorea",0.415485499563754,-0.479324092238908,-0.01302639186856,0.510169554126665,0.577384195750061,-0.0127606753738935,-0.0336074431559737,-0.0342730239227694,-0.0352852809855232,-0.00747525587720317,0,0,-0.00609738975288465
"akatoreb",-0.0325465941827863,-0.0379730349555958,-0.0018570293714083,-0.683374275161923,-0.728332508651223,-0.00111279361528764,-0.00282340180598482,-0.00265386075963777,-0.00294690407251636,-0.00100668623849108,0,-0.000349853149810849,-0.000776667024034783
"benguela",0.205331507682302,0.418236175843798,-0.000884207413919144,0.325264522601048,-0.337693233555675,0.64510602030486,0.372839859503904,0.0427655812622453,0.0779913800046517,-0.000191218917817706,0,0,-0.000191218917817706
"berwick",-0.116167385760229,-0.110653360327709,-0.0134492866165456,-0.615963742248857,-0.770682137661833,-0.0089539128641746,-0.0103538742697662,-0.0133390760546995,-0.0140403125240053,-0.0103301946586001,-0.000948898001535795,-0.00445142951580353,-0.00528533816546381
"blackrock",0.0499724069156288,0.0240766044346642,-0.00127392387956372,0.877441269905815,0.476455799010684,-0.000876362093233333,-0.000850056433459656,-0.00176537449420278,-0.00161286065689453,-0.000776631752770872,0,-0.000277389589966267,-0.000503650811583122
"bridgebrook",0.196145511472666,0.00314638644496527,-0.00815238427170441,0.957283347384306,0.205909744737966,-0.0218095697016176,8.43798382827407e-05,-0.0259275040676029,-0.0236196845214071,-0.0204307156147659,-0.0034580328079409,-0.0202154009155158,-0.010794585429506
"broad",0.0572125480884589,-0.00321330140028466,-0.000204692167564333,0.78466735619844,0.617262402898309,-0.000228568165862303,-0.000409696149183136,-0.000427899050320687,-0.000441453782446514,-0.000139104701329713,0,-3.80140272665646e-05,-6.5974572943717e-05
"broom",0.104456552437193,0.143357587926104,-0.0001731759053396,-0.0574338676062123,0.982464680909815,-0.000483070563624118,-0.000714955609913493,-0.000755934587244151,-0.00075165215808315,-0.00011314259079046,0,0,-9.2334244103068e-05
"bsq",0.206036739950406,0.0577377455993495,-0.0380524085852524,0.944093115444238,0.198697720345088,-0.0633857139872281,-0.0583256650231964,-0.0704831126731399,-0.0696737060147787,-0.0539247933395022,-0.0109746854582527,-0.0302425861503227,-0.0281027850997111
"canton",-0.128597150162351,-0.122875523031098,-0.0150751992549322,-0.630417082171195,-0.754883306861792,-0.00992093735656457,-0.0110331775652767,-0.0147989396445132,-0.0153795415130213,-0.0113680423264178,-0.000996121683588986,-0.00484656042628013,-0.00576229085173005
"catlins",-0.0554162907981289,-0.0746976353530918,-0.00407325926335215,-0.844169302383523,-0.527824696585433,-0.00241305542101124,-0.00568616604963895,-0.00530586884248833,-0.00615958570743427,-0.00234230787445058,0,-0.000669289295423623,-0.00134265342094536
"caymen fw",0.160560324394433,0.0718762810587785,-1.29616797790639e-05,0.449543167030855,0.875765449028619,-3.64674653021385e-06,-2.2505191452495e-05,-1.88181381151831e-05,-2.5359445224131e-05,-5.48390192801294e-06,0,0,0
"chesapeake",-0.0377578813075468,-0.0473527486578819,-0.0026463151591796,-0.597341528304915,-0.799669316199621,-0.00104542665195758,-0.00343658351296895,-0.00314840534276216,-0.00350119804228287,-0.00117703921558942,0,-0.00026444108680837,-0.000781462412344361
"coachella",-0.0469522391002497,-0.0322330254081471,-0.00664436387040991,-0.494211906875695,-0.660749553010226,0.120165512001927,0.013539269276852,0.0104101905198914,-0.00223932970098728,0.0129468026914901,0.528004766153892,0.148610186669813,0.0099449449341153
"coweeta1",-0.223184614886264,-0.189384830075265,-0.0551202167392765,-0.596077513729294,-0.703137841855105,-0.0854026065092384,-0.0974828116935721,-0.12070493626351,-0.123512356725304,-0.0944021569011353,-0.0228822401019926,-0.0589308255407946,-0.0451979477922723
"coweeta17",-0.18780697949755,-0.144621093821487,-0.0320537041273165,-0.698272779052414,-0.662960282356275,-0.0553731297984004,-0.0528863100205119,-0.0569063628608718,-0.0550845164942189,-0.0468246851958018,-0.0108814762172907,-0.0266510121942859,-0.0229697687420748
"csm",0.45568996909991,0.0207007335007149,-0.0174823833233078,0.44736819947809,0.767592661769368,-0.0171427011905457,-0.0178645237360812,-0.0243466675166442,-0.0253047094488972,-0.0169617635580103,-0.0011353037687033,-0.00762204200098938,-0.00908349312468295
"cuban fw",0.145785808926879,0.0591468032234035,-0.000155185108752903,0.434655657856958,0.886748250787497,-7.48570270396427e-05,-0.000191311567921662,-0.000186952881620294,-0.000201286072018839,-8.03968027456092e-05,0,-2.80743904648972e-05,-5.82824864118042e-05
"dempstersau",0.0495873529899769,0.00536471047085585,-0.000507619760922225,0.957135973520262,0.285310587830807,-0.000346802596140434,-2.91901031664863e-05,-0.000590257545962499,-0.000420608654693575,-7.74627248515093e-05,0,0,-2.91901031664863e-05
"dempsterssp",0.0669322054328021,-0.520141803712461,-0.0332840164808945,-0.640542163360551,-0.551618158687092,-0.0282720963936714,-0.04843684066284,-0.0482459976207309,-0.0519197500130691,-0.027397441255416,-0.00104368346709387,-0.0105304603233052,-0.0160164529382112
"dempsterssu",-0.117809133334793,-0.119165290351633,-0.0149350204174361,-0.620857232519063,-0.765116663462179,-0.00975283763522647,-0.0109450022666042,-0.0145144259035262,-0.0152007718664132,-0.0109821528824773,-0.000923138728975545,-0.00462449577169136,-0.0055575350048985
"elverde",0.103921624477787,0.0323470937260169,0.0150370838340329,0.0762288230038969,0.110566746536008,0.158333293025696,0.00659956745637455,0.133661105541575,0.0559996314960561,0.141876628613708,0,0.487746083455916,0.815936611018521
"epb",0.336708219521842,0.0293151547225925,-0.00125630070970558,0.787960767656184,0.514630532794577,-0.00273378246151634,-0.00228126776190919,-0.00306155854270174,-0.00314046278416018,-0.00218260384189762,-0.000366188256279405,-0.00134428038939765,-0.00111504677142744
"flensburg",0.343623172214233,0.160390389019707,-0.00778771999338914,0.711210622991715,0.591552654718355,-0.0050628225895806,-0.00989628259907715,-0.0104161949156604,-0.0107188833822616,-0.0049026381945212,-0.000248632778940404,-0.00156390524775481,-0.00296527330198953
