location,replace with 
None Listed,None Listed
Adelie Land. Antarctica,Adelie Land
Adjacent to Vestfold Hills,Vestfold Hills
Admiralty Bay,Admirality Bay
Amanda Bay,Amanda Bay
Amery Basin,Amery Basin
Antarctic and subantarctic waters,Antarctic and Subantarctic Waters
Antarctic continental slope & oceanic areas,Antarctic Continental Slope and Oceanic Areas
Antarctic Peninsula,Antarctic Peninsula
Antarctic Peninsula,Antarctic Peninsula
Antarctic waters,Antarctic and Subantarctic Waters
Antipodes Island,Antipodes Island
Anvers Island,Anvers Island
Argentine Islands,Argentine Islands
At sea in the southern Benguela region,Benguela
Auster colony,Auster Colony
Bailey Rocks. off Casey,Bailey Rocks
Banana Trench,Banana Trench
Bauer Bay,Bauer Bay
Bay of Morbihan. Kerguelen Islands,Kerguelen Island
Beauchene Island,Beauchene Island
Bird Island,Bird Island
Bird Island. South Georgia,Bird Island
Bounty Islands,Bounty Island
Brothers Point,Brothers Point
Brown Bay. east of tip area,Brown Bay
Brown Bay. west corner,Brown Bay
Bruny Island,Bruny Island
Budnick Hill. west Casey,Budnick Hill
Campbell Island,Campbell Island
Canyon des Sourcils Noirs,Canyon des Sourcils Noirs
Cap Noir. Iles Kerguelen,Kerguelen Island
Cape Bird,Cape Bird
Cape Bird. Ross Island,Cape Bird
Cape Crozier,Cape Crozier
Cape Crozier. Ross Island,Cape Crozier
Cape Evans,Cape Evans
Cape Herschel,Cape Herschel
Cape Hinode,Cape Hinode
Cape Ratmanoff,Cape Ratmanoff
Cape Roget,Cape Roget
Cape Royds,Cape Royds
Cape Royds. Ross Island,Cape Royds
Cape Shirreff,Cape Shirreff
Cape Washington,Cape Washington
Capsize Beach,Capsize Beach
Charlotte Bay,Charlotte Bay
Chatham Islands,Chatham Islands
Cierva Point,Cierva Point
Commonwealth Bay,Commonwealth Bay
Cook Strait,Cook Strait
Coulman Island,Coulman Island
Croker Passage,Croker Passage
Crozet Island,Crozet Island
Crozet Island waters,Crozet Island
Crozet Islands,Crozet Island
Crozet Islands1,Crozet Island
Crozet Islands2,Crozet Island
Davis,Davis 
Davis station vicinity,Davis 
Deception Island,Deception Island
Deep water between Bailey Peninsula & Beall Is.,Deep water
Diego Ramirez Islands,Diego Ramirez Islands
Doppler Hill,Doppler Hill
Drescher Inlet,Drescher Inlet
Duthoit Point,Duthoit Point
East Antarctica,East Antarctica
East London,East London
East Newcombe Bay. Mulholm Is region.,East Newcombe Bay
Elephant Island,Elephant Island
Esperanza Bay,Esperanza Bay
Falkland Islands,Falkland Islands
Fortuna Bay,Fortuna Bay
Gerlache Strait,Gerlache Strait
Gough Island. South Atlantic Ocean. ,Gough Island
Gough Island,Gough Island
Gourlay Peninsula,Gourlay Peninsula
Grand Didier Channel,Grand Didier Channel
Harmony Point,Harmony Point
Hawker Island. near Davis. Antarctica,Hawker Island
Heard Island,Heard Island
Heard Island. Macquarie Island,Heard Island
Heard Island,Heard Island
Hiegel Passage,Hiegel Passage
Hop Islands. Rauer Islands. Prydz Bay,Hop Islands
Hope Bay,Hope Bay
Hukuro Cove,Hukuro Cove
Ice edge zone,Ice edge
Icicle Gully,Icicle Gully
Ile de la Possession. Iles Crozet. ,Ile de
Ile Mayes,Ile Mayes
Ile verte,Ile verte
Ile Verte,Ile Verte
Iles Crozet,Crozet Island
Iles Crozets,Crozet Island
Iles de Croy. Iles Nuageuses,Croy Island
Iles Kerguelen,Kerguelen Island
Isles Crozet,Crozet Island
Johnson Cove,Johnson Cove
Kerguelen Archipelago,Kerguelen Island
Kerguelen Island,Kerguelen Island
Kerguelen Island1,Kerguelen Island
Kerguelen Islands,Kerguelen Island
Kerguelen Islands1,Kerguelen Island
